name	dataset	caption	audio_path	mel_path	duration
Air Conditioner 180 01.wav	adobe	air conditioner  	adobe/Ambience_1/Air Conditioner 180 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Air Conditioner 180 01_mel.npy	90.115875
Air Conditioner Level Three 01.wav	adobe	air conditioner level three 	adobe/Ambience_1/Air Conditioner Level Three 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Air Conditioner Level Three 01_mel.npy	90.11322916666668
Appliance Theater Concession Popcorn Machine 01.wav	adobe	appliance theater concession popcorn machine 	adobe/Ambience_1/Appliance Theater Concession Popcorn Machine 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Appliance Theater Concession Popcorn Machine 01_mel.npy	90.0
Auto Detail Shop 01.wav	adobe	auto detail shop 	adobe/Ambience_1/Auto Detail Shop 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Auto Detail Shop 01_mel.npy	90.1116875
Auto Repair Shop 01.wav	adobe	auto repair shop 	adobe/Ambience_1/Auto Repair Shop 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Auto Repair Shop 01_mel.npy	90.1115
Auto Repair Shop 180D 01.wav	adobe	auto repair shop	adobe/Ambience_1/Auto Repair Shop 180D 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Auto Repair Shop 180D 01_mel.npy	90.11158333333331
Auto Repair Shop Busy 01.wav	adobe	auto repair shop busy 	adobe/Ambience_1/Auto Repair Shop Busy 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Auto Repair Shop Busy 01_mel.npy	90.11077083333332
Auto Repair Shop Electrical Work 02.wav	adobe	auto repair shop electrical work 	adobe/Ambience_1/Auto Repair Shop Electrical Work 02.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Auto Repair Shop Electrical Work 02_mel.npy	90.45314583333334
Auto Repair Shop With Air Compressor 01.wav	adobe	auto repair shop with air compressor 	adobe/Ambience_1/Auto Repair Shop With Air Compressor 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Auto Repair Shop With Air Compressor 01_mel.npy	90.11208333333332
Auto Shop 01.wav	adobe	auto shop 	adobe/Ambience_1/Auto Shop 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Auto Shop 01_mel.npy	90.113625
Auto Shop Less Work 02.wav	adobe	auto shop less work 	adobe/Ambience_1/Auto Shop Less Work 02.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Auto Shop Less Work 02_mel.npy	90.112
Backyard Near Road 180 01.wav	adobe	backyard near road  	adobe/Ambience_1/Backyard Near Road 180 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Backyard Near Road 180 01_mel.npy	90.10035416666666
Backyard Near Road More Traffic 01.wav	adobe	backyard near road more traffic 	adobe/Ambience_1/Backyard Near Road More Traffic 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Backyard Near Road More Traffic 01_mel.npy	90.10108333333334
Basketball Game Girls Junior Varsity Sideline 01.wav	adobe	basketball game girls junior varsity sideline 	adobe/Ambience_1/Basketball Game Girls Junior Varsity Sideline 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Basketball Game Girls Junior Varsity Sideline 01_mel.npy	90.112
Basketball Game Girls Junior Varsity Sideline More Action 180 01.wav	adobe	basketball game girls junior varsity sideline more action  	adobe/Ambience_1/Basketball Game Girls Junior Varsity Sideline More Action 180 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Basketball Game Girls Junior Varsity Sideline More Action 180 01_mel.npy	90.112
Bathroom Exhaust Fan On Toilet Flush Door Shut 01.wav	adobe	bathroom exhaust fan on toilet flush door shut 	adobe/Ambience_1/Bathroom Exhaust Fan On Toilet Flush Door Shut 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Bathroom Exhaust Fan On Toilet Flush Door Shut 01_mel.npy	89.40508333333334
Boiler Room 01.wav	adobe	boiler room 	adobe/Ambience_1/Boiler Room 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Boiler Room 01_mel.npy	90.02327083333333
Bowling Alley 01.wav	adobe	bowling alley 	adobe/Ambience_1/Bowling Alley 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Bowling Alley 01_mel.npy	90.11139583333332
Bowling Alley 180D 01.wav	adobe	bowling alley	adobe/Ambience_1/Bowling Alley 180D 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Bowling Alley 180D 01_mel.npy	90.098
Bowling Alley Behind One Lane 01.wav	adobe	bowling alley behind one lane 	adobe/Ambience_1/Bowling Alley Behind One Lane 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Bowling Alley Behind One Lane 01_mel.npy	90.09066666666666
Bowling Alley Less Talking 01.wav	adobe	bowling alley less talking 	adobe/Ambience_1/Bowling Alley Less Talking 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Bowling Alley Less Talking 01_mel.npy	90.12266666666666
Bridge Over Creek 01.wav	adobe	bridge over creek 	adobe/Ambience_1/Bridge Over Creek 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Bridge Over Creek 01_mel.npy	90.10804166666668
Building Entrance Mic Up 02.wav	adobe	building entrance mic up 	adobe/Ambience_1/Building Entrance Mic Up 02.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Building Entrance Mic Up 02_mel.npy	90.11733333333332
Building Entrance Near Road 02.wav	adobe	building entrance near road 	adobe/Ambience_1/Building Entrance Near Road 02.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Building Entrance Near Road 02_mel.npy	90.11266666666668
Bus Stop Near Road 01.wav	adobe	bus stop near road 	adobe/Ambience_1/Bus Stop Near Road 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Bus Stop Near Road 01_mel.npy	90.128
Bus Stop Near Road 180D 01.wav	adobe	bus stop near road	adobe/Ambience_1/Bus Stop Near Road 180D 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Bus Stop Near Road 180D 01_mel.npy	90.11054166666666
Busy Road 01.wav	adobe	busy road 	adobe/Ambience_1/Busy Road 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Busy Road 01_mel.npy	90.11329166666668
Busy Road 180D 01.wav	adobe	busy road	adobe/Ambience_1/Busy Road 180D 01.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/adobe/Ambience_1/Busy Road 180D 01_mel.npy	90.12266666666666
