name	dataset	caption	audio_path	mel_path	duration
1210764.wav	audiostock	Ping pong! Quiz Correct Answer Successful Button	/home/tiger/nfs/data/old_data/Audiostock/audios/1210764.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/Audiostock/audios/1210764_mel.npy	1.5
1108217.wav	audiostock	Sharp shamisen chichin part 2	/home/tiger/nfs/data/old_data/Audiostock/audios/1108217.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/Audiostock/audios/1108217_mel.npy	2.75
1238575.wav	audiostock	The sound of locking the inside of the door of an apartment E	/home/tiger/nfs/data/old_data/Audiostock/audios/1238575.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/Audiostock/audios/1238575_mel.npy	1.495
1153833.wav	audiostock	Electric sound like laser.	/home/tiger/nfs/data/old_data/Audiostock/audios/1153833.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/Audiostock/audios/1153833_mel.npy	1.851
811188.wav	audiostock	Flashy and glittering blues jingle	/home/tiger/nfs/data/old_data/Audiostock/audios/811188.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/Audiostock/audios/811188_mel.npy	4.7143125
136742.wav	audiostock	Tap sound (smartphone)	/home/tiger/nfs/data/old_data/Audiostock/audios/136742.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/Audiostock/audios/136742_mel.npy	1.495
1111457.wav	audiostock	News title display (Earthquake Early Warning)	/home/tiger/nfs/data/old_data/Audiostock/audios/1111457.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/Audiostock/audios/1111457_mel.npy	1.8639375
1160532.wav	audiostock	A sword's special move that shoots a halo that cuts through the opponent	/home/tiger/nfs/data/old_data/Audiostock/audios/1160532.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/Audiostock/audios/1160532_mel.npy	2.0
1087622.wav	audiostock	[Loop] Time signal C (Pawn, Po, Po / 1 minute)	/home/tiger/nfs/data/old_data/Audiostock/audios/1087622.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/Audiostock/audios/1087622_mel.npy	60.0
1211312.wav	audiostock	Click sound, beep 16	/home/tiger/nfs/data/old_data/Audiostock/audios/1211312.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/Audiostock/audios/1211312_mel.npy	1.495
1205558.wav	audiostock	Puzzle game / combo / success / operation / display	/home/tiger/nfs/data/old_data/Audiostock/audios/1205558.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/Audiostock/audios/1205558_mel.npy	2.0
1181788.wav	audiostock	Shake the bottle with liquid 02	/home/tiger/nfs/data/old_data/Audiostock/audios/1181788.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/Audiostock/audios/1181788_mel.npy	1.988
1165100.wav	audiostock	Natural sounds of Higashikagawa City-Striking a confectionery wooden pattern	/home/tiger/nfs/data/old_data/Audiostock/audios/1165100.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/Audiostock/audios/1165100_mel.npy	70.4734375
1235756.wav	audiostock	rearview mirror down inside 1	/home/tiger/nfs/data/old_data/Audiostock/audios/1235756.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/Audiostock/audios/1235756_mel.npy	1.495
1250877.wav	audiostock	quadcopter flying outside	/home/tiger/nfs/data/old_data/Audiostock/audios/1250877.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/Audiostock/audios/1250877_mel.npy	34.0551875
13289.wav	audiostock	The sound of the waves of the ocean will be heard with plenty of presence ...	/home/tiger/nfs/data/old_data/Audiostock/audios/13289.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/Audiostock/audios/13289_mel.npy	152.34725
1225134.wav	audiostock	Drawers	/home/tiger/nfs/data/old_data/Audiostock/audios/1225134.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/Audiostock/audios/1225134_mel.npy	1.495
1210985.wav	audiostock	Churn (system sound, high)	/home/tiger/nfs/data/old_data/Audiostock/audios/1210985.wav	/home/tiger/nfs/data/old_data/melnat_16k_raw/Audiostock/audios/1210985_mel.npy	1.5
