name	dataset	ori_cap	audio_path	mel_path	caption	duration
-0Gj8-vB1q4	musiccap	A melancholic and soulful ballad with low-quality sustained strings, a mellow piano melody, and soft female vocals.	data/musiccap/-0Gj8-vB1q4.wav	data_melnone16000nfft1024/musiccap/-0Gj8-vB1q4_mel.npy	<low quality static& all>@<sustained strings sound& all>@<mellow piano melody& all>@<soft female vocals& all>@<church-like ambiance& all>	10.0
-0SdAVK79lg	musiccap	This instrumental song features a relaxing melody with a country feel, accompanied by a guitar, piano, simple percussion, and bass in a slow tempo.	data/musiccap/-0SdAVK79lg.wav	data_melnone16000nfft1024/musiccap/-0SdAVK79lg_mel.npy	<electric guitar playing various techniques& all>@<percussion rim shots in common time& all>@<bass playing one note& all>@<piano backing chords& all>@<relaxing ambient noise& all>	10.0
-0vPFx-wRRI	musiccap	A male singer with a mid-range voice sings against a background of amateur recording, finger-snipping, and reverb.	data/musiccap/-0vPFx-wRRI.wav	data_melnone16000nfft1024/musiccap/-0vPFx-wRRI_mel.npy	<male singing a melody& all>@<changing tempos& all>@<fingers snipping rhythmically& all>@<echoey empty room acoustics& all>@<playing, practicing singing& all>	10.0
-0xzrMun0Rs	musiccap	A medium-tempo digital keyboard song with a jazzy backing track featuring digital drums, piano, e-bass, trumpet, and acoustic guitar.	data/musiccap/-0xzrMun0Rs.wav	data_melnone16000nfft1024/musiccap/-0xzrMun0Rs_mel.npy	<digital drums playing a simple groove& all>@<guitars strumming and playing a melody& all>@<e-bass playing the footnote& all>@<piano playing major and minor chord progression& all>@<trumpet playing loud melody& all>@<keyboard playing sounds& all>@<bongo hits& all>@<eating sounds& mid>@<stomach rumbling& mid>@<advertisement music& all>	10.0
-1LrH01Ei1w	musiccap	A fast tempo instrumental song featuring the repetitive melody of a plucked rubab on various octaves without any other instruments or vocals.	data/musiccap/-1LrH01Ei1w.wav	data_melnone16000nfft1024/musiccap/-1LrH01Ei1w_mel.npy	<rubber instrument strumming fast& all>@<melody on one fretted string& mid>@<melody on open strings& mid>@<lower octave melody& mid>@<higher octave melody repeat& end>@<folk party background noise& all>	10.0
-1OlgJWehn8	musiccap	A complex song comprising of instrumental and white noise with female and male vocalisation, electric guitar harmony, bass guitar, keyboard harmony, slick drumming, and boomy bass drops in three unrelated tracks.	data/musiccap/-1OlgJWehn8.wav	data_melnone16000nfft1024/musiccap/-1OlgJWehn8_mel.npy	<electric guitar lead harmony with groovy bass line& start>@<white noise& mid>@<female vocalisation with keyboard harmony, slick drumming, funky bass lines and male backup& end>	10.0
-1UWSisR2zo	musiccap	A live recording of a groovy medium tempo techno dance song with a male singer, keyboard accompaniment, and a groovy bass line, marred by ambient noises, crowd noise, hissing tones, and high gain volume, as kids dance in a noisy school dance program captured on a poor-quality home video with lots of noise.	data/musiccap/-1UWSisR2zo.wav	data_melnone16000nfft1024/musiccap/-1UWSisR2zo_mel.npy	<male singer singing& all>@<groovy bass line& all>@<strong drumming rhythm & all>@<keyboard accompaniment& all>@<dancing children sounds& mid-end>@<poor audio quality with high gains& all>@<hissing noise& all>	10.0
-3Kv4fdm7Uk	musiccap	An amateur recording features a steel drum playing in a higher register.	data/musiccap/-3Kv4fdm7Uk.wav	data_melnone16000nfft1024/musiccap/-3Kv4fdm7Uk_mel.npy	<high pitched melody on steel drum& all>@<poor audio quality noise& all>	10.0
-4NLarMj4xU	musiccap	The pop song features a mellow piano melody, sustained pulsating synth lead, high pitched female vocal melody, sustained synth bass, punchy kick, claps, emotional, sad, and passionate tones with tinny wide hi hats and soft female vocals.	data/musiccap/-4NLarMj4xU.wav	data_melnone16000nfft1024/musiccap/-4NLarMj4xU_mel.npy	<soft female vocal& all>@<pulsating synth lead& all>@<mellow piano melody& all>@<synth brass& all>@<punchy kick& all>@<claps& all>@<tinny wide hi hats& all>@<high pitched female vocal melody& all>@<radio noise& end>	10.0
-4SYC2YgzL8	musiccap	An intimate solo acoustic performance with a raw, low-fi sound featuring airy chords and ambient noises accompanied by the sound of papers being shuffled in the background.	data/musiccap/-4SYC2YgzL8.wav	data_melnone16000nfft1024/musiccap/-4SYC2YgzL8_mel.npy	<acoustic guitar strumming& all>@<ambient sounds-papers shuffling& occasional>	10.0
